Start: user:olivia bot:snowwhite ip: rand:736 (~justify_identity) 0 ==> Hi, what brings you to this part of the woods?  When:Tue Feb 25 10:30:00 2014 Version:3.53 Build0:1385587290 Build1:1393274408 Why: ~justify_identity.3.0 
Respond: user:olivia bot:snowwhite ip: (~sell_apple) 10  yes ==> I'd like to believe that.  When:Tue Feb 25 10:36:58 2014 Why: ~sell_apple.25.1 
Respond: user:olivia bot:snowwhite ip: (~dwarves) 11  the dwarves trsut me ==> I don't know where I would be if it weren't for the dwarves' help.  When:Tue Feb 25 10:37:51 2014 Why: ~dwarves.7.0 
Respond: user:olivia bot:snowwhite ip: (~assassination_plot) 12  i like the dwarves ==> I can't think straight with all this stress.  When:Tue Feb 25 10:38:12 2014 Why: ~assassination_plot.29.0 
Respond: user:olivia bot:snowwhite ip: (~dwarves) 13  the dwarves are great ==> Yes, they're nobody's fools.  When:Tue Feb 25 10:38:21 2014 Why: ~dwarves.14.0 
Respond: user:olivia bot:snowwhite ip: (~dwarves) 14  they are my friends too ==> They never mentioned you.  When:Tue Feb 25 10:38:30 2014 Why: ~dwarves.16.0 
Respond: user:olivia bot:snowwhite ip: (~justify_identity) 15  i am also hiding from someone ==> Sorry, but what was it that you wanted again?  When:Tue Feb 25 10:38:48 2014 Why: ~justify_identity.78.0 
Respond: user:olivia bot:snowwhite ip: (~justify_identity) 16  i want to see the dwarves ==> I don't think I can help you with that.  When:Tue Feb 25 10:39:01 2014 Why: ~justify_identity.40.0 
Respond: user:olivia bot:snowwhite ip: (~justify_identity) 17  i think they are great ==> I hate to be like that but I really need to be wary of strangers  When:Tue Feb 25 10:39:10 2014 Why: ~justify_identity.79.0 
Respond: user:olivia bot:snowwhite ip: (~justify_identity) 18  do you need help hiding from someone ==> What do you need?  When:Tue Feb 25 10:39:34 2014 Why: ~justify_identity.37.0 
Respond: user:olivia bot:snowwhite ip: (~justify_identity) 19  i just want to talk to someone, i am very old ==> You shouldn't be walking alone in the woods like that.  When:Tue Feb 25 10:39:45 2014 Why: ~justify_identity.30.0 
Respond: user:olivia bot:snowwhite ip: (~justify_identity) 20  can you help me? ==> I hate to be rude but there's an awful lot to do in this house  When:Tue Feb 25 10:39:53 2014 Why: ~catchall.30.0 
Respond: user:olivia bot:snowwhite ip: (~justify_identity) 21  i can't find my home ==> Well there's a little path over there that should help you find your way back.  When:Tue Feb 25 10:40:02 2014 Why: ~justify_identity.23.0 
Respond: user:olivia bot:snowwhite ip: (~justify_identity) 22  can you find the dwarves? ==> I'm going to close this door anytime soon now.  When:Tue Feb 25 10:40:12 2014 Why: ~catchall.31.0 
Respond: user:olivia bot:snowwhite ip: (~sell_apple) 23  i have a magic apple ==> I've become wary of magic.  When:Tue Feb 25 10:40:20 2014 Why: ~sell_apple.16.0 
Respond: user:olivia bot:snowwhite ip: (~sell_apple) 24  it is healthy for you ==> It's true that apples are healthy.  When:Tue Feb 25 10:40:26 2014 Why: ~sell_apple.19.0 
Respond: user:olivia bot:snowwhite ip: (~catchall) 25  you look hungry ==> All right, I'll have a bite of this apple. Arrrhh you vile woman! I'm too young to die! The dwarves will definitely think me an idiot now!  When:Tue Feb 25 10:40:35 2014 Why: ~sell_apple.41.0 
